Nom_Districte,Hora,total_multes
Ciutat Vella,00,9155
Eixample,00,6926
Gràcia,00,1097
Horta-Guinardó,00,3803
Les Corts,00,6658
Nou Barris,00,17454
Sant Andreu,00,2534
Sant Martí,00,4346
Sants-Montjuïc,00,8212
Sarrià-Sant Gervasi,00,6200
Ciutat Vella,01,8151
Eixample,01,5536
Gràcia,01,876
Horta-Guinardó,01,2670
Les Corts,01,4921
Nou Barris,01,13785
Sant Andreu,01,1458
Sant Martí,01,3579
Sants-Montjuïc,01,6303
Sarrià-Sant Gervasi,01,5120
Ciutat Vella,02,5182
Eixample,02,3159
Gràcia,02,595
Horta-Guinardó,02,1274
Les Corts,02,2547
Nou Barris,02,8945
Sant Andreu,02,670
Sant Martí,02,2131
Sants-Montjuïc,02,4229
Sarrià-Sant Gervasi,02,3102
Ciutat Vella,03,4241
Eixample,03,2772
Gràcia,03,545
Horta-Guinardó,03,908
Les Corts,03,2116
Nou Barris,03,7309
Sant Andreu,03,790
Sant Martí,03,1978
Sants-Montjuïc,03,3601
Sarrià-Sant Gervasi,03,2862
Ciutat Vella,04,5024
Eixample,04,2843
Gràcia,04,700
Horta-Guinardó,04,1243
Les Corts,04,2098
Nou Barris,04,9237
Sant Andreu,04,1063
Sant Martí,04,2231
Sants-Montjuïc,04,4577
Sarrià-Sant Gervasi,04,3461
Ciutat Vella,05,3925
Eixample,05,2015
Gràcia,05,271
Horta-Guinardó,05,1709
Les Corts,05,4072
Nou Barris,05,11524
Sant Andreu,05,923
Sant Martí,05,2202
Sants-Montjuïc,05,3046
Sarrià-Sant Gervasi,05,3108
Ciutat Vella,06,2295
Eixample,06,1350
Gràcia,06,290
Horta-Guinardó,06,1271
Les Corts,06,4400
Nou Barris,06,8094
Sant Andreu,06,709
Sant Martí,06,1636
Sants-Montjuïc,06,2535
Sarrià-Sant Gervasi,06,3189
Ciutat Vella,07,4890
Eixample,07,10087
Gràcia,07,2725
Horta-Guinardó,07,5762
Les Corts,07,5875
Nou Barris,07,13120
Sant Andreu,07,3004
Sant Martí,07,7198
Sants-Montjuïc,07,7339
Sarrià-Sant Gervasi,07,8498
Ciutat Vella,08,8208
Eixample,08,23526
Gràcia,08,6605
Horta-Guinardó,08,13897
Les Corts,08,11696
Nou Barris,08,17608
