dia_setmana,hora,count
0,00,8247
0,01,5996
0,02,3413
0,03,3022
0,04,3754
0,05,4053
0,06,2726
0,07,8279
0,08,17958
0,09,34250
0,10,37048
0,11,25948
0,12,40394
0,13,29435
0,14,24082
0,15,26692
0,16,35311
0,17,30074
0,18,18038
0,19,23698
0,20,10853
0,21,8228
0,22,6467
0,23,7905
1,00,8182
1,01,6037
1,02,3316
1,03,2869
1,04,3677
1,05,3878
1,06,2449
1,07,7787
1,08,19209
1,09,35510
1,10,39673
1,11,27416
1,12,42006
1,13,29748
1,14,24297
1,15,27382
1,16,36765
1,17,31812
1,18,19088
1,19,24427
1,20,11118
1,21,8317
1,22,6385
1,23,8594
2,00,8944
2,01,6369
2,02,3448
2,03,2928
2,04,3609
2,05,3999
2,06,2593
2,07,7867
2,08,18398
2,09,34061
2,10,38420
2,11,26427
2,12,40999
2,13,29526
2,14,23974
2,15,27930
2,16,36746
2,17,31853
2,18,19286
2,19,23635
2,20,10953
2,21,8459
2,22,6303
2,23,7985
3,00,8690
3,01,6658
3,02,3742
3,03,2966
3,04,3875
3,05,4304
3,06,2554
3,07,7836
3,08,18694
3,09,35016
3,10,38705
3,11,25809
3,12,40303
3,13,28907
3,14,24466
3,15,27529
3,16,37006
3,17,31879
3,18,18658
3,19,23451
3,20,10547
3,21,8511
3,22,6739
3,23,8906
4,00,9656
4,01,7419
4,02,4575
4,03,3542
4,04,4524
4,05,4643
4,06,2864
4,07,8434
4,08,18363
4,09,35529
4,10,38314
4,11,26209
4,12,39802
4,13,27993
4,14,24184
4,15,27966
4,16,37412
4,17,33351
4,18,19621
4,19,23499
4,20,10222
4,21,8371
4,22,6987
4,23,8948
5,00,10333
5,01,9114
5,02,5849
5,03,5323
5,04,5973
5,05,5718
5,06,5640
5,07,8910
5,08,13005
5,09,16177
5,10,15425
5,11,12344
5,12,18135
5,13,13930
5,14,13402
5,15,18136
5,16,20322
5,17,16447
5,18,10635
5,19,10300
5,20,8832
5,21,7625
5,22,8060
5,23,9479
6,00,10825
6,01,9834
6,02,6646
6,03,5824
6,04,6250
6,05,5820
6,06,5890
6,07,8430
6,08,11755
6,09,12356
6,10,10426
6,11,11281
6,12,12815
6,13,10949
6,14,11289
6,15,14666
6,16,14670
6,17,13336
6,18,9874
6,19,8724
6,20,8504
6,21,6772
6,22,7427
6,23,8630
