dia_setmana,hora,Agent,count
0,00,Guardia Urbana,2988
0,00,Radar,5259
0,01,Guardia Urbana,2235
0,01,Radar,3761
0,02,Guardia Urbana,1197
0,02,Radar,2216
0,03,Guardia Urbana,1240
0,03,Radar,1782
0,04,Guardia Urbana,1532
0,04,Radar,2222
0,05,Guardia Urbana,713
0,05,Radar,3340
0,06,Guardia Urbana,328
0,06,Radar,2398
0,07,Guardia Urbana,1605
0,07,Radar,6674
0,08,Guardia Urbana,4107
0,08,Radar,13851
0,09,Guardia Urbana,4162
0,09,Radar,30088
0,10,Guardia Urbana,2902
0,10,Radar,34146
0,11,Guardia Urbana,4371
0,11,Radar,21577
0,12,Guardia Urbana,5760
0,12,Radar,34634
0,13,Guardia Urbana,4295
0,13,Radar,25140
0,14,Guardia Urbana,1726
0,14,Radar,22356
0,15,Guardia Urbana,3681
0,15,Radar,23011
0,16,Guardia Urbana,6660
0,16,Radar,28651
0,17,Guardia Urbana,6422
0,17,Radar,23652
0,18,Guardia Urbana,5090
0,18,Radar,12948
0,19,Guardia Urbana,5151
0,19,Radar,18547
0,20,Guardia Urbana,5228
0,20,Radar,5625
0,21,Guardia Urbana,2705
0,21,Radar,5523
0,22,Guardia Urbana,831
0,22,Radar,5636
0,23,Guardia Urbana,2079
0,23,Radar,5826
1,00,Guardia Urbana,3301
1,00,Radar,4881
1,01,Guardia Urbana,2889
1,01,Radar,3148
1,02,Guardia Urbana,1575
1,02,Radar,1741
1,03,Guardia Urbana,1358
1,03,Radar,1511
1,04,Guardia Urbana,1625
1,04,Radar,2052
1,05,Guardia Urbana,812
1,05,Radar,3066
1,06,Guardia Urbana,297
1,06,Radar,2152
1,07,Guardia Urbana,1802
1,07,Radar,5985
1,08,Guardia Urbana,4933
1,08,Radar,14276
1,09,Guardia Urbana,4618
1,09,Radar,30892
1,10,Guardia Urbana,3202
1,10,Radar,36471
1,11,Guardia Urbana,4898
1,11,Radar,22518
1,12,Guardia Urbana,6245
1,12,Radar,35761
1,13,Guardia Urbana,4782
1,13,Radar,24966
1,14,Guardia Urbana,1791
1,14,Radar,22506
