dia_setmana,hora,Grup_Vehicle,count
0,00,Bicicletes,302
0,00,Equips emergencia,6
0,00,Motocicleta,824
0,00,Taxis,25
0,00,Transport Comercial,315
0,00,Transport públic,8
0,00,Vehicle Turisme,6716
0,00,Vehicles especials,4
0,00,Vianants,47
0,01,Bicicletes,207
0,01,Equips emergencia,4
0,01,Habitatge,1
0,01,Motocicleta,635
0,01,Taxis,22
0,01,Transport Comercial,226
0,01,Transport públic,14
0,01,Vehicle Turisme,4852
0,01,Vehicles especials,1
0,01,Vianants,34
0,02,Bicicletes,87
0,02,Motocicleta,343
0,02,Taxis,14
0,02,Transport Comercial,162
0,02,Transport públic,9
0,02,Vehicle Turisme,2772
0,02,Vehicles especials,2
0,02,Vianants,24
0,03,Bicicletes,74
0,03,Equips emergencia,4
0,03,Habitatge,1
0,03,Motocicleta,318
0,03,Taxis,39
0,03,Transport Comercial,134
0,03,Transport públic,3
0,03,Vehicle Turisme,2419
0,03,Vehicles especials,1
0,03,Vianants,29
0,04,Bicicletes,93
0,04,Equips emergencia,4
0,04,Habitatge,1
0,04,Motocicleta,381
0,04,Taxis,46
0,04,Transport Comercial,205
0,04,Transport públic,17
0,04,Vehicle Turisme,2958
0,04,Vehicles especials,2
0,04,Vianants,47
0,05,Bicicletes,43
0,05,Equips emergencia,6
0,05,Habitatge,1
0,05,Motocicleta,376
0,05,Taxis,8
0,05,Transport Comercial,274
0,05,Transport públic,11
0,05,Vehicle Turisme,3272
0,05,Vehicles especials,2
0,05,Vianants,60
0,06,Bicicletes,13
0,06,Equips emergencia,2
0,06,Motocicleta,314
0,06,Taxis,7
0,06,Transport Comercial,307
0,06,Transport públic,11
0,06,Vehicle Turisme,2023
0,06,Vianants,49
0,07,Bicicletes,107
0,07,Equips emergencia,5
0,07,Habitatge,24
0,07,Motocicleta,1172
0,07,Taxis,17
0,07,Transport Comercial,816
0,07,Transport públic,39
0,07,Vehicle Turisme,5686
0,07,Vehicles especials,13
0,07,Vianants,400
0,08,Bicicletes,302
0,08,Equips emergencia,6
0,08,Habitatge,17
0,08,Motocicleta,3513
0,08,Taxis,56
0,08,Transport Comercial,2748
0,08,Transport públic,72
0,08,Vehicle Turisme,10431
0,08,Vehicles especials,26
0,08,Vianants,787
0,09,Bicicletes,329
0,09,Equips emergencia,11
0,09,Habitatge,22
0,09,Motocicleta,3157
0,09,Taxis,116
0,09,Transport Comercial,7958
0,09,Transport públic,129
0,09,Vehicle Turisme,21330
0,09,Vehicles especials,25
0,09,Vianants,1173
0,10,Bicicletes,178
0,10,Equips emergencia,11
0,10,Habitatge,21
0,10,Motocicleta,2395
0,10,Taxis,156
0,10,Transport Comercial,9052
0,10,Transport públic,136
0,10,Vehicle Turisme,23907
0,10,Vehicles especials,33
0,10,Vianants,1159
0,11,Bicicletes,246
0,11,Equips emergencia,13
0,11,Habitatge,11
0,11,Motocicleta,2187
0,11,Taxis,95
0,11,Transport Comercial,5040
0,11,Transport públic,158
0,11,Vehicle Turisme,17010
0,11,Vehicles especials,33
0,11,Vianants,1155
0,12,Bicicletes,388
0,12,Equips emergencia,16
0,12,Habitatge,26
0,12,Motocicleta,2911
0,12,Patinet,1
0,12,Taxis,194
0,12,Transport Comercial,9783
0,12,Transport públic,174
0,12,Vehicle Turisme,25581
0,12,Vehicles especials,36
0,12,Vianants,1284
0,13,Bicicletes,336
0,13,Equips emergencia,15
0,13,Habitatge,20
0,13,Motocicleta,2471
0,13,Taxis,119
0,13,Transport Comercial,6144
0,13,Transport públic,129
0,13,Vehicle Turisme,19262
0,13,Vehicles especials,34
0,13,Vianants,905
0,14,Bicicletes,171
0,14,Equips emergencia,18
0,14,Habitatge,12
0,14,Motocicleta,1794
0,14,Taxis,106
0,14,Transport Comercial,5497
0,14,Transport públic,99
0,14,Vehicle Turisme,15739
0,14,Vehicles especials,16
0,14,Vianants,630
0,15,Bicicletes,390
0,15,Equips emergencia,13
0,15,Habitatge,20
0,15,Motocicleta,2674
0,15,Taxis,144
0,15,Transport Comercial,4634
0,15,Transport públic,85
0,15,Vehicle Turisme,17969
0,15,Vehicles especials,20
0,15,Vianants,743
0,16,Bicicletes,631
0,16,Equips emergencia,13
0,16,Habitatge,24
0,16,Motocicleta,3424
0,16,Taxis,151
0,16,Transport Comercial,7613
0,16,Transport públic,94
0,16,Vehicle Turisme,22385
0,16,Vehicles especials,27
0,16,Vianants,949
0,17,Bicicletes,611
0,17,Equips emergencia,10
0,17,Habitatge,23
0,17,Motocicleta,2856
0,17,Taxis,117
0,17,Transport Comercial,5560
0,17,Transport públic,67
0,17,Vehicle Turisme,20027
0,17,Vehicles especials,19
0,17,Vianants,784
0,18,Bicicletes,550
0,18,Equips emergencia,16
0,18,Habitatge,28
0,18,Motocicleta,2406
0,18,Taxis,96
0,18,Transport Comercial,1699
0,18,Transport públic,72
0,18,Vehicle Turisme,12702
0,18,Vehicles especials,13
0,18,Vianants,456
0,19,Bicicletes,450
0,19,Equips emergencia,14
0,19,Habitatge,31
0,19,Motocicleta,2711
0,19,Taxis,87
0,19,Transport Comercial,2628
0,19,Transport públic,49
0,19,Vehicle Turisme,17220
0,19,Vehicles especials,14
0,19,Vianants,494
0,20,Bicicletes,504
0,20,Equips emergencia,13
0,20,Habitatge,5
0,20,Motocicleta,2309
0,20,Taxis,30
0,20,Transport Comercial,648
0,20,Transport públic,18
0,20,Vehicle Turisme,7219
0,20,Vehicles especials,5
0,20,Vianants,102
0,21,Bicicletes,260
0,21,Equips emergencia,6
0,21,Habitatge,2
0,21,Motocicleta,1315
0,21,Taxis,18
0,21,Transport Comercial,474
0,21,Transport públic,12
0,21,Vehicle Turisme,6082
0,21,Vehicles especials,3
0,21,Vianants,56
0,22,Bicicletes,77
0,22,Equips emergencia,9
0,22,Habitatge,2
0,22,Motocicleta,722
0,22,Taxis,11
0,22,Transport Comercial,326
0,22,Transport públic,10
0,22,Vehicle Turisme,5284
0,22,Vehicles especials,1
0,22,Vianants,25
0,23,Bicicletes,293
0,23,Equips emergencia,5
0,23,Motocicleta,934
0,23,Taxis,17
0,23,Transport Comercial,343
0,23,Transport públic,14
0,23,Vehicle Turisme,6239
0,23,Vehicles especials,4
0,23,Vianants,56
1,00,Bicicletes,400
1,00,Equips emergencia,2
1,00,Habitatge,4
1,00,Motocicleta,1074
1,00,Taxis,50
1,00,Transport Comercial,339
1,00,Transport públic,9
1,00,Vehicle Turisme,6248
1,00,Vehicles especials,1
1,00,Vianants,55
1,01,Bicicletes,343
1,01,Equips emergencia,8
1,01,Motocicleta,817
1,01,Taxis,34
1,01,Transport Comercial,256
1,01,Transport públic,12
1,01,Vehicle Turisme,4513
1,01,Vehicles especials,3
1,01,Vianants,51
1,02,Bicicletes,153
1,02,Equips emergencia,5
1,02,Habitatge,2
1,02,Motocicleta,538
1,02,Taxis,18
1,02,Transport Comercial,152
1,02,Transport públic,12
1,02,Vehicle Turisme,2383
1,02,Vehicles especials,1
1,02,Vianants,52
1,03,Bicicletes,122
1,03,Equips emergencia,4
1,03,Motocicleta,363
1,03,Taxis,30
1,03,Transport Comercial,143
